index,Scoville Heat Units (SHU)
0,270.51027935455187
1,270.51027935455187
2,270.51027935455187
3,270.51027935455187
4,270.51027935455187
5,270.51027935455187
6,270.51027935455187
7,270.51027935455187
8,114289.64495267377
9,270.51027935455187
10,270.51027935455187
11,270.51027935455187
12,270.51027935455187
13,270.51027935455187
14,114289.64495267377
15,114289.64495267377
16,114289.64495267377
17,305589.118194283
18,114289.64495267377
19,270.51027935455187
20,270.51027935455187
21,270.51027935455187
22,270.51027935455187
23,305589.118194283
24,270.51027935455187
25,270.51027935455187
26,270.51027935455187
27,270.51027935455187
28,270.51027935455187
29,270.51027935455187
30,270.51027935455187
31,270.51027935455187
32,270.51027935455187
33,270.51027935455187
34,114289.64495267377
35,270.51027935455187
36,270.51027935455187
37,270.51027935455187
38,270.51027935455187
39,270.51027935455187
40,270.51027935455187
41,270.51027935455187
42,270.51027935455187
43,270.51027935455187
44,270.51027935455187
45,270.51027935455187
46,270.51027935455187
47,270.51027935455187
48,270.51027935455187
49,270.51027935455187
50,270.51027935455187
51,270.51027935455187
52,270.51027935455187
53,270.51027935455187
54,270.51027935455187
55,305589.118194283
56,270.51027935455187
57,305589.118194283
58,270.51027935455187
59,305589.118194283
60,270.51027935455187
61,270.51027935455187
62,114289.64495267377
63,270.51027935455187
64,270.51027935455187
65,270.51027935455187
66,270.51027935455187
67,270.51027935455187
68,270.51027935455187
69,114289.64495267377
70,270.51027935455187
71,270.51027935455187
72,270.51027935455187
73,270.51027935455187
74,270.51027935455187
75,270.51027935455187
76,270.51027935455187
77,270.51027935455187
78,270.51027935455187
79,270.51027935455187
80,270.51027935455187
81,270.51027935455187
82,270.51027935455187
83,270.51027935455187
84,270.51027935455187
85,270.51027935455187
86,270.51027935455187
87,270.51027935455187
88,270.51027935455187
89,270.51027935455187
90,270.51027935455187
91,270.51027935455187
92,270.51027935455187
93,270.51027935455187
94,270.51027935455187
95,270.51027935455187
96,270.51027935455187
97,270.51027935455187
98,270.51027935455187
99,270.51027935455187
100,270.51027935455187
101,270.51027935455187
102,270.51027935455187
103,270.51027935455187
104,270.51027935455187
105,270.51027935455187
106,270.51027935455187
107,270.51027935455187
108,270.51027935455187
109,270.51027935455187
110,270.51027935455187
111,270.51027935455187
112,270.51027935455187
113,270.51027935455187
114,270.51027935455187
115,270.51027935455187
116,270.51027935455187
117,270.51027935455187
118,270.51027935455187
119,270.51027935455187
120,270.51027935455187
121,270.51027935455187
122,270.51027935455187
123,270.51027935455187
124,270.51027935455187
125,114289.64495267377
126,270.51027935455187
127,270.51027935455187
128,270.51027935455187
129,270.51027935455187
130,270.51027935455187
131,270.51027935455187
132,270.51027935455187
133,270.51027935455187
134,270.51027935455187
135,270.51027935455187
136,270.51027935455187
137,270.51027935455187
138,305589.118194283
139,270.51027935455187
140,270.51027935455187
141,270.51027935455187
142,270.51027935455187
143,270.51027935455187
144,270.51027935455187
145,270.51027935455187
146,270.51027935455187
147,270.51027935455187
148,270.51027935455187
149,114289.64495267377
150,270.51027935455187
151,270.51027935455187
152,114289.64495267377
153,270.51027935455187
154,270.51027935455187
155,270.51027935455187
156,270.51027935455187
157,270.51027935455187
158,270.51027935455187
159,270.51027935455187
160,270.51027935455187
161,270.51027935455187
162,270.51027935455187
163,270.51027935455187
164,270.51027935455187
165,270.51027935455187
166,270.51027935455187
167,270.51027935455187
168,270.51027935455187
169,270.51027935455187
170,270.51027935455187
171,270.51027935455187
172,270.51027935455187
173,270.51027935455187
174,270.51027935455187
175,270.51027935455187
176,270.51027935455187
177,305589.118194283
178,114289.64495267377
179,270.51027935455187
180,270.51027935455187
181,114289.64495267377
182,270.51027935455187
183,270.51027935455187
184,305589.118194283
185,270.51027935455187
186,270.51027935455187
187,270.51027935455187
188,270.51027935455187
189,270.51027935455187
190,270.51027935455187
191,270.51027935455187
192,270.51027935455187
193,270.51027935455187
194,270.51027935455187
195,270.51027935455187
196,270.51027935455187
197,114289.64495267377
198,270.51027935455187
199,270.51027935455187
200,270.51027935455187
201,270.51027935455187
202,270.51027935455187
203,270.51027935455187
204,305589.118194283
205,270.51027935455187
206,270.51027935455187
207,270.51027935455187
208,270.51027935455187
209,270.51027935455187
210,270.51027935455187
211,270.51027935455187
212,270.51027935455187
213,270.51027935455187
214,114289.64495267377
215,270.51027935455187
216,270.51027935455187
217,270.51027935455187
218,270.51027935455187
219,270.51027935455187
220,270.51027935455187
221,270.51027935455187
222,270.51027935455187
223,270.51027935455187
224,270.51027935455187
225,305589.118194283
226,270.51027935455187
227,270.51027935455187
228,270.51027935455187
229,270.51027935455187
230,270.51027935455187
231,270.51027935455187
232,270.51027935455187
233,305589.118194283
234,114289.64495267377
235,270.51027935455187
236,270.51027935455187
237,270.51027935455187
238,114289.64495267377
239,270.51027935455187
240,270.51027935455187
241,270.51027935455187
242,270.51027935455187
243,270.51027935455187
244,270.51027935455187
245,270.51027935455187
246,270.51027935455187
247,270.51027935455187
248,270.51027935455187
249,270.51027935455187
250,270.51027935455187
251,270.51027935455187
252,270.51027935455187
253,270.51027935455187
254,270.51027935455187
255,270.51027935455187
256,270.51027935455187
257,270.51027935455187
258,270.51027935455187
259,305589.118194283
260,270.51027935455187
261,270.51027935455187
262,270.51027935455187
263,270.51027935455187
264,114289.64495267377
265,270.51027935455187
266,270.51027935455187
267,270.51027935455187
268,270.51027935455187
269,114289.64495267377
270,270.51027935455187
271,270.51027935455187
272,270.51027935455187
273,270.51027935455187
274,270.51027935455187
275,270.51027935455187
276,270.51027935455187
277,270.51027935455187
278,270.51027935455187
279,270.51027935455187
280,270.51027935455187
281,270.51027935455187
282,270.51027935455187
283,270.51027935455187
284,270.51027935455187
285,270.51027935455187
286,270.51027935455187
287,270.51027935455187
288,270.51027935455187
289,270.51027935455187
290,270.51027935455187
291,270.51027935455187
292,305589.118194283
293,270.51027935455187
294,270.51027935455187
295,270.51027935455187
296,270.51027935455187
297,270.51027935455187
298,270.51027935455187
299,270.51027935455187
300,270.51027935455187
301,270.51027935455187
302,270.51027935455187
303,305589.118194283
304,114289.64495267377
305,270.51027935455187
306,270.51027935455187
307,270.51027935455187
308,270.51027935455187
309,305589.118194283
310,270.51027935455187
311,270.51027935455187
312,270.51027935455187
313,114289.64495267377
314,270.51027935455187
315,270.51027935455187
316,270.51027935455187
317,270.51027935455187
318,270.51027935455187
319,270.51027935455187
320,270.51027935455187
321,270.51027935455187
322,270.51027935455187
323,270.51027935455187
324,270.51027935455187
325,270.51027935455187
326,270.51027935455187
327,270.51027935455187
328,270.51027935455187
329,270.51027935455187
330,270.51027935455187
331,270.51027935455187
332,270.51027935455187
333,270.51027935455187
334,270.51027935455187
335,270.51027935455187
336,270.51027935455187
337,270.51027935455187
338,270.51027935455187
339,270.51027935455187
340,270.51027935455187
341,270.51027935455187
342,270.51027935455187
343,270.51027935455187
344,305589.118194283
345,270.51027935455187
346,270.51027935455187
347,270.51027935455187
348,270.51027935455187
349,270.51027935455187
350,114289.64495267377
351,270.51027935455187
352,270.51027935455187
353,270.51027935455187
354,305589.118194283
355,270.51027935455187
356,270.51027935455187
357,270.51027935455187
358,270.51027935455187
359,270.51027935455187
360,270.51027935455187
361,270.51027935455187
362,270.51027935455187
363,114289.64495267377
364,270.51027935455187
365,270.51027935455187
366,114289.64495267377
367,270.51027935455187
368,270.51027935455187
369,305589.118194283
370,270.51027935455187
371,270.51027935455187
372,305589.118194283
373,270.51027935455187
374,114289.64495267377
375,305589.118194283
376,270.51027935455187
377,270.51027935455187
378,114289.64495267377
379,270.51027935455187
380,270.51027935455187
381,270.51027935455187
382,270.51027935455187
383,270.51027935455187
384,270.51027935455187
385,270.51027935455187
386,270.51027935455187
387,270.51027935455187
388,270.51027935455187
389,270.51027935455187
390,270.51027935455187
391,270.51027935455187
392,270.51027935455187
393,270.51027935455187
394,305589.118194283
395,270.51027935455187
396,114289.64495267377
397,270.51027935455187
398,270.51027935455187
399,270.51027935455187
400,270.51027935455187
401,270.51027935455187
402,270.51027935455187
403,270.51027935455187
404,270.51027935455187
405,270.51027935455187
406,270.51027935455187
407,270.51027935455187
408,270.51027935455187
409,270.51027935455187
410,270.51027935455187
411,270.51027935455187
412,270.51027935455187
413,270.51027935455187
414,270.51027935455187
415,270.51027935455187
416,270.51027935455187
417,270.51027935455187
418,305589.118194283
419,270.51027935455187
420,270.51027935455187
421,305589.118194283
422,270.51027935455187
423,270.51027935455187
424,270.51027935455187
425,114289.64495267377
426,270.51027935455187
427,270.51027935455187
428,270.51027935455187
429,270.51027935455187
430,270.51027935455187
431,270.51027935455187
432,270.51027935455187
433,270.51027935455187
434,270.51027935455187
435,270.51027935455187
436,270.51027935455187
437,270.51027935455187
438,270.51027935455187
439,305589.118194283
440,270.51027935455187
441,270.51027935455187
442,270.51027935455187
443,270.51027935455187
444,270.51027935455187
445,270.51027935455187
446,270.51027935455187
447,270.51027935455187
448,270.51027935455187
449,270.51027935455187
450,270.51027935455187
